league_id,sub_league_id,year,all_star_pos,all_star
100,0,2018,0,3
100,0,2018,1,19
100,0,2018,2,51
100,0,2018,3,64
100,0,2018,4,66
100,0,2018,5,99
100,0,2018,6,114
100,0,2018,7,146
100,0,2018,8,149
100,0,2018,9,160
100,0,2018,10,203
100,0,2018,11,226
100,0,2018,12,236
100,0,2018,13,243
100,0,2018,14,281
100,0,2018,15,287
100,0,2018,16,321
100,0,2018,17,323
100,0,2018,18,324
100,0,2018,19,337
100,0,2018,20,375
100,0,2018,21,425
100,0,2018,22,471
100,0,2018,23,498
100,0,2018,24,500
100,0,2018,25,501
100,0,2018,26,506
100,0,2018,27,509
100,0,2018,28,544
100,0,2018,29,554
100,0,2018,30,563
100,0,2018,31,565
100,0,2018,32,606
100,0,2018,33,650
100,1,2018,0,700
100,1,2018,1,735
100,1,2018,2,737
100,1,2018,3,790
100,1,2018,4,807
100,1,2018,5,824
100,1,2018,6,830
100,1,2018,7,856
100,1,2018,8,878
100,1,2018,9,898
100,1,2018,10,925
100,1,2018,11,946
100,1,2018,12,1002
100,1,2018,13,1039
100,1,2018,14,1048
100,1,2018,15,1084
100,1,2018,16,1086
100,1,2018,17,1089
100,1,2018,18,1095
100,1,2018,19,1105
100,1,2018,20,1126
100,1,2018,21,1130
100,1,2018,22,1145
100,1,2018,23,1180
100,1,2018,24,1185
100,1,2018,25,1218
100,1,2018,26,1224
100,1,2018,27,1233
100,1,2018,28,1274
100,1,2018,29,1278
100,1,2018,30,1279
100,1,2018,31,1280
100,1,2018,32,1282
100,1,2018,33,1329
100,0,2019,0,10
100,0,2019,1,14
100,0,2019,2,17
100,0,2019,3,19
100,0,2019,4,51
100,0,2019,5,64
100,0,2019,6,66
100,0,2019,7,94
100,0,2019,8,95
100,0,2019,9,97
100,0,2019,10,107
100,0,2019,11,146
100,0,2019,12,160
100,0,2019,13,240
100,0,2019,14,243
100,0,2019,15,340
100,0,2019,16,375
100,0,2019,17,414
100,0,2019,18,420
100,0,2019,19,455
100,0,2019,20,473
100,0,2019,21,500
100,0,2019,22,501
100,0,2019,23,509
100,0,2019,24,520
100,0,2019,25,554
100,0,2019,26,563
100,0,2019,27,597
100,0,2019,28,604
100,0,2019,29,634
100,0,2019,30,729
100,0,2019,31,745
100,0,2019,32,993
100,0,2019,33,11139
100,1,2019,0,143
100,1,2019,1,149
100,1,2019,2,236
100,1,2019,3,245
100,1,2019,4,425
100,1,2019,5,555
100,1,2019,6,565
100,1,2019,7,700
100,1,2019,8,738
100,1,2019,9,790
100,1,2019,10,814
100,1,2019,11,865
100,1,2019,12,878
100,1,2019,13,908
100,1,2019,14,923
100,1,2019,15,946
100,1,2019,16,996
100,1,2019,17,1048
100,1,2019,18,1084
100,1,2019,19,1095
100,1,2019,20,1098
100,1,2019,21,1105
100,1,2019,22,1130
100,1,2019,23,1171
100,1,2019,24,1180
100,1,2019,25,1217
100,1,2019,26,1218
100,1,2019,27,1233
100,1,2019,28,1269
100,1,2019,29,1272
100,1,2019,30,1280
100,1,2019,31,1281
100,1,2019,32,1282
100,1,2019,33,1329
100,0,2020,0,13
100,0,2020,1,17
100,0,2020,2,25
100,0,2020,3,51
100,0,2020,4,66
100,0,2020,5,98
100,0,2020,6,107
100,0,2020,7,114
100,0,2020,8,240
100,0,2020,9,243
100,0,2020,10,247
100,0,2020,11,287
100,0,2020,12,324
100,0,2020,13,340
100,0,2020,14,365
100,0,2020,15,380
100,0,2020,16,414
100,0,2020,17,471
100,0,2020,18,498
100,0,2020,19,501
100,0,2020,20,509
100,0,2020,21,512
100,0,2020,22,554
100,0,2020,23,563
100,0,2020,24,597
100,0,2020,25,606
100,0,2020,26,634
100,0,2020,27,684
100,0,2020,28,768
100,0,2020,29,819
100,0,2020,30,1219
100,0,2020,31,1224
100,0,2020,32,11210
100,1,2020,0,3
100,1,2020,1,236
100,1,2020,2,425
100,1,2020,3,497
100,1,2020,4,544
100,1,2020,5,688
100,1,2020,6,690
100,1,2020,7,699
100,1,2020,8,731
100,1,2020,9,777
100,1,2020,10,807
100,1,2020,11,814
100,1,2020,12,824
100,1,2020,13,878
100,1,2020,14,908
100,1,2020,15,925
100,1,2020,16,1002
100,1,2020,17,1014
100,1,2020,18,1054
100,1,2020,19,1086
100,1,2020,20,1095
100,1,2020,21,1105
100,1,2020,22,1141
100,1,2020,23,1171
100,1,2020,24,1180
100,1,2020,25,1185
100,1,2020,26,1217
100,1,2020,27,1233
100,1,2020,28,1279
100,1,2020,29,1280
100,1,2020,30,1282
100,1,2020,31,1328
100,1,2020,32,9094
100,1,2020,33,11138
100,0,2021,0,14
100,0,2021,1,25
100,0,2021,2,51
100,0,2021,3,107
100,0,2021,4,114
100,0,2021,5,140
100,0,2021,6,230
100,0,2021,7,236
100,0,2021,8,240
100,0,2021,9,243
100,0,2021,10,316
100,0,2021,11,338
100,0,2021,12,365
100,0,2021,13,375
100,0,2021,14,422
100,0,2021,15,473
100,0,2021,16,498
100,0,2021,17,501
100,0,2021,18,509
100,0,2021,19,512
100,0,2021,20,604
100,0,2021,21,606
100,0,2021,22,652
100,0,2021,23,729
100,0,2021,24,777
100,0,2021,25,785
100,0,2021,26,908
100,0,2021,27,922
100,0,2021,28,1089
100,0,2021,29,9526
100,0,2021,30,9556
100,0,2021,31,12502
100,0,2021,32,12588
100,1,2021,0,307
100,1,2021,1,340
100,1,2021,2,544
100,1,2021,3,552
100,1,2021,4,565
100,1,2021,5,688
100,1,2021,6,699
100,1,2021,7,753
100,1,2021,8,814
100,1,2021,9,829
100,1,2021,10,878
100,1,2021,11,923
100,1,2021,12,925
100,1,2021,13,953
100,1,2021,14,996
100,1,2021,15,1041
100,1,2021,16,1095
100,1,2021,17,1098
100,1,2021,18,1134
100,1,2021,19,1180
100,1,2021,20,1185
100,1,2021,21,1217
100,1,2021,22,1218
100,1,2021,23,1233
100,1,2021,24,1272
100,1,2021,25,1280
100,1,2021,26,1281
100,1,2021,27,1282
100,1,2021,28,1328
100,1,2021,29,1435
100,1,2021,30,1560
100,1,2021,31,1860
100,1,2021,32,1942
100,1,2021,33,4834
100,1,2021,34,11138
100,0,2022,0,25
100,0,2022,1,51
100,0,2022,2,68
100,0,2022,3,69
100,0,2022,4,98
100,0,2022,5,103
100,0,2022,6,107
100,0,2022,7,114
100,0,2022,8,136
