human_manager_id,team_id,year,league_id,sub_league_id,division_id,best_hitter_id,best_pitcher_id,best_rookie_id,manager_id,made_playoffs,won_playoffs,fired,position_in_division
1,13,2018,100,0,0,17,2269,0,0,0,0,0,5
1,13,2019,100,0,0,25,3120,0,0,0,0,0,3
1,13,2020,100,0,0,25,2831,0,0,0,0,0,5
1,13,2021,100,0,0,25,1815,0,0,0,0,0,5
1,13,2022,100,0,0,25,4101,0,0,0,0,0,5
1,13,2023,100,0,0,17,5979,0,0,0,0,0,5
1,13,2024,100,0,0,25,5990,0,0,0,0,0,4
1,13,2025,100,0,0,14785,8740,0,0,0,0,0,3
1,13,2026,100,0,0,9708,8816,0,0,1,0,0,2
1,13,2027,100,0,0,9708,11386,0,0,0,0,0,3
1,13,2028,100,0,0,9708,14910,0,0,1,0,0,2
1,13,2029,100,0,0,9708,14910,0,0,1,0,0,1
1,13,2030,100,0,0,9708,17919,0,0,1,1,0,1
1,13,2031,100,0,0,11697,14505,0,0,0,0,0,2
1,13,2032,100,0,0,9708,19312,0,0,1,0,0,2
1,13,2033,100,0,0,9708,23693,0,0,0,0,0,4
1,13,2034,100,0,0,9708,19691,0,0,0,0,0,5
