team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
14,2034,100,1,1,3837,1005,4234,1696,975,962,532,282,523,496,915,1014,15480,0,162,162,57,52,0,606,181,44,21,24,164,3,2,2,34,48,0,77,82,0,0,0,6,2,64,21,0,11.6866,0.2541,0.3116,0.4420,0.7536,8.7313,8.6149,1.4687,2.5254,0.0370,0.0000,0.5062,0.5229,3.2840,0.0000,0.0000,0.0000,4.4418,95.5556,0.0000,1.2507,0.4743,3.4113,0.2969
15,2034,100,1,1,3594,949,4064,1606,918,838,497,352,467,444,973,893,15009,0,162,162,60,54,0,534,222,43,26,20,142,8,0,14,45,49,0,98,77,0,0,0,6,2,44,18,0,12.5090,0.2554,0.3280,0.4469,0.7749,8.7060,7.9473,1.3467,3.3383,0.0370,0.0000,0.4753,0.5263,3.0679,0.0000,0.0000,0.0000,4.2107,92.6481,0.0000,1.3383,0.5214,2.3807,0.2939
16,2034,100,1,1,3689,933,4071,1777,1032,756,535,292,531,501,906,1013,14738,2,162,162,56,56,0,627,225,35,19,20,160,4,0,17,37,36,0,83,78,0,0,0,4,2,51,20,0,13.1096,0.2798,0.3370,0.4817,0.8187,9.9479,7.2874,1.5423,2.8147,0.0247,0.0000,0.4815,0.5000,3.3025,0.0000,0.0000,0.0000,4.8293,90.9753,0.0000,1.4181,0.4721,2.5890,0.3123
17,2034,100,1,1,3633,944,4126,1557,954,786,505,378,520,482,994,926,15294,2,162,162,51,57,0,627,180,43,26,18,129,8,0,18,43,46,0,90,66,0,0,0,4,2,59,19,0,13.1284,0.2626,0.3375,0.4286,0.7661,9.0889,7.4884,1.2290,3.6013,0.0247,0.0000,0.4074,0.4722,3.1173,0.0000,0.0000,0.0000,4.5921,94.4074,0.0000,1.4100,0.5177,2.0794,0.3007
18,2034,100,1,1,3052,790,3478,1361,784,683,369,331,463,424,797,801,13017,0,162,162,32,64,0,480,162,35,24,11,131,2,0,15,43,36,0,64,37,0,0,0,2,0,45,14,0,13.1127,0.2569,0.3343,0.4459,0.7802,8.9316,7.7810,1.4924,3.7709,0.0123,0.0000,0.2284,0.3333,2.2778,0.0000,0.0000,0.0000,4.8304,80.3519,0.0000,1.4114,0.4987,2.0634,0.2887
19,2034,100,1,1,3678,984,4092,1471,861,843,509,305,451,404,1014,957,15171,1,162,162,61,54,0,529,187,34,22,12,133,1,1,7,47,52,0,93,86,0,0,0,7,3,50,32,0,11.1365,0.2341,0.3002,0.3999,0.7002,7.8723,7.7078,1.2161,2.7887,0.0432,0.0000,0.5309,0.5304,3.1420,0.0000,0.0000,0.0000,3.6939,93.6481,0.0000,1.1846,0.5145,2.7639,0.2673
20,2034,100,1,1,3730,981,4085,1502,930,845,557,249,432,406,1036,942,14815,2,162,162,66,51,0,584,224,40,22,18,104,5,0,1,50,44,0,89,89,0,0,0,7,4,59,18,0,11.2126,0.2493,0.3023,0.4027,0.7050,8.5263,7.7470,0.9535,2.2829,0.0432,0.0000,0.5494,0.5641,3.4383,0.0000,0.0000,0.0000,3.7222,91.4506,0.0000,1.2010,0.5238,3.3936,0.2947
21,2034,100,1,1,3760,960,4232,1795,1063,883,515,353,584,554,957,902,15481,1,162,162,50,70,0,679,204,59,31,12,168,9,0,36,28,29,0,94,67,0,0,0,5,0,65,27,0,13.5422,0.2827,0.3463,0.4774,0.8237,9.9622,8.2753,1.5745,3.3082,0.0309,0.0000,0.4136,0.4167,3.1790,0.0000,0.0000,0.0000,5.1919,95.5617,0.0000,1.4745,0.5148,2.5014,0.3266
22,2034,100,1,1,3484,913,3873,1419,871,827,542,283,449,414,856,944,14349,2,162,162,61,44,0,566,177,43,21,13,115,1,2,11,41,40,0,73,78,0,0,0,3,0,50,19,0,11.7614,0.2500,0.3119,0.4073,0.7192,8.5797,8.1463,1.1328,2.7877,0.0185,0.0000,0.4815,0.5810,3.3457,0.0000,0.0000,0.0000,4.0781,88.5741,0.0000,1.2630,0.4756,2.9223,0.2950
23,2034,100,1,1,3731,988,4123,1612,912,889,625,299,482,460,1012,951,15241,1,162,162,61,47,0,562,168,36,26,14,168,2,1,42,27,30,0,68,78,0,0,0,8,1,44,17,0,11.3008,0.2444,0.3037,0.4321,0.7358,8.3049,8.0954,1.5298,2.7228,0.0494,0.0000,0.4815,0.5648,3.8580,0.0000,0.0000,0.0000,4.1889,94.0802,0.0000,1.2253,0.5155,2.9732,0.2756
