team_id,year,league_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera
42,2034,101,2,0,0,144,1440,5936,1961,3887,88,103,0,11,49,16,0,11661,0,0.9852,4.5135,0.3265,0.0000
43,2034,101,2,0,0,144,1440,5924,1939,3877,108,142,0,11,38,13,0,11631,0,0.9818,4.5004,0.3421,0.0000
44,2034,101,2,0,0,144,1440,5823,1861,3856,106,105,0,13,68,18,0,11568,0,0.9818,4.4479,0.2647,0.0000
45,2034,101,2,0,0,144,1440,5902,1949,3834,119,144,0,13,60,14,0,11502,0,0.9798,4.5250,0.2333,0.0000
46,2034,101,2,0,0,144,1440,5933,1966,3868,99,133,0,9,74,16,0,11604,0,0.9833,4.5248,0.2162,0.0000
47,2034,101,2,0,0,144,1440,6019,1984,3911,124,139,0,8,43,11,0,11733,0,0.9794,4.5219,0.2558,0.0000
48,2034,101,2,0,0,145,1450,6019,1991,3934,94,122,0,12,73,19,0,11802,0,0.9844,4.5183,0.2603,0.0000
49,2034,101,2,0,0,144,1440,6002,2008,3867,127,125,0,15,66,17,0,11607,0,0.9788,4.5554,0.2576,0.0000
50,2034,101,2,0,0,144,1440,6019,2027,3886,106,136,0,11,59,8,0,11658,0,0.9824,4.5648,0.1356,0.0000
51,2034,101,2,0,0,144,1440,5975,1974,3892,109,115,0,20,59,19,0,11676,0,0.9818,4.5216,0.3220,0.0000
52,2034,101,2,0,0,145,1450,5923,1912,3879,132,99,0,14,53,12,0,11637,0,0.9777,4.4787,0.2264,0.0000
53,2034,101,2,0,0,144,1440,5852,1876,3847,129,103,0,11,71,27,0,11541,0,0.9780,4.4630,0.3803,0.0000
54,2034,101,2,0,0,144,1440,5906,1911,3898,97,122,0,18,48,11,0,11697,0,0.9836,4.4696,0.2292,0.0000
55,2034,101,2,0,0,144,1440,5993,1957,3902,134,121,0,12,54,16,0,11706,0,0.9776,4.5046,0.2963,0.0000
56,2034,101,2,0,0,144,1440,6046,1977,3957,112,123,0,8,58,21,0,11871,0,0.9815,4.4989,0.3621,0.0000
57,2034,101,2,0,0,144,1440,5987,1935,3923,129,106,1,10,57,15,0,11769,0,0.9785,4.4797,0.2632,0.0000
58,2034,101,2,0,0,144,1440,5829,1889,3832,108,124,1,10,60,14,0,11499,0,0.9815,4.4777,0.2333,0.0000
59,2034,101,2,0,0,144,1440,6023,1990,3902,131,125,0,15,61,12,0,11706,0,0.9783,4.5300,0.1967,0.0000
60,2034,101,2,0,0,144,1440,5965,1950,3886,129,131,0,17,64,19,0,11658,0,0.9784,4.5054,0.2969,0.0000
61,2034,102,3,0,0,131,1310,5346,1728,3529,89,127,0,15,52,11,0,10587,0,0.9834,4.4690,0.2115,0.0000
62,2034,102,3,0,0,131,1310,5414,1781,3528,105,92,0,11,42,7,0,10587,0,0.9806,4.5132,0.1667,0.0000
63,2034,102,3,0,0,131,1310,5402,1790,3509,103,119,0,14,58,19,0,10530,0,0.9809,4.5291,0.3276,0.0000
64,2034,102,3,0,0,130,1300,5370,1732,3529,109,93,0,18,44,12,0,10590,0,0.9797,4.4711,0.2727,0.0000
65,2034,102,3,0,0,131,1310,5308,1658,3524,126,90,0,13,56,14,0,10572,0,0.9763,4.4115,0.2500,0.0000
66,2034,102,3,0,0,131,1310,5475,1843,3506,126,127,0,19,55,14,0,10521,0,0.9770,4.5757,0.2545,0.0000
67,2034,102,3,0,0,131,1310,5340,1744,3474,122,90,0,11,71,25,0,10422,0,0.9772,4.5060,0.3521,0.0000
68,2034,102,3,0,0,127,1270,5216,1736,3391,89,120,0,16,64,14,0,10173,0,0.9829,4.5358,0.2188,0.0000
69,2034,102,3,0,0,131,1310,5393,1773,3516,104,93,0,14,47,15,0,10548,0,0.9807,4.5128,0.3191,0.0000
70,2034,102,3,0,0,131,1310,5416,1790,3522,104,102,0,11,45,10,0,10566,0,0.9808,4.5247,0.2222,0.0000
71,2034,102,3,0,0,131,1310,5417,1782,3502,133,121,0,15,55,15,0,10506,0,0.9754,4.5266,0.2727,0.0000
72,2034,102,3,0,0,131,1310,5427,1765,3555,107,122,0,12,54,12,0,10668,0,0.9803,4.4882,0.2222,0.0000
73,2034,102,3,0,0,131,1310,5446,1780,3566,100,102,0,15,41,9,0,10698,0,0.9816,4.4975,0.2195,0.0000
74,2034,102,3,0,0,131,1310,5462,1778,3558,126,111,0,16,49,9,0,10674,0,0.9769,4.4992,0.1837,0.0000
75,2034,102,3,0,0,131,1310,5413,1793,3517,103,102,0,12,55,14,0,10551,0,0.9810,4.5294,0.2545,0.0000
76,2034,102,3,0,0,131,1310,5366,1730,3518,118,112,0,16,72,13,0,10554,0,0.9780,4.4753,0.1806,0.0000
77,2034,102,3,0,0,131,1310,5509,1837,3556,116,124,0,11,46,14,0,10674,0,0.9789,4.5472,0.3043,0.0000
78,2034,102,3,0,0,131,1310,5475,1866,3516,93,113,0,11,72,18,0,10548,0,0.9830,4.5922,0.2500,0.0000
79,2034,102,3,0,0,131,1310,5405,1778,3526,101,120,0,12,60,15,0,10578,0,0.9813,4.5128,0.2500,0.0000
80,2034,102,3,0,0,131,1310,5367,1724,3530,113,114,0,16,50,10,0,10590,0,0.9789,4.4652,0.2000,0.0000
81,2034,102,3,0,0,131,1310,5410,1763,3544,103,101,0,12,57,11,0,10632,0,0.9810,4.4924,0.1930,0.0000
82,2034,102,3,0,0,131,1310,5513,1835,3553,125,112,0,13,55,13,0,10662,0,0.9773,4.5481,0.2364,0.0000
83,2034,102,3,0,0,131,1310,5473,1754,3594,125,115,0,14,45,12,0,10782,0,0.9772,4.4641,0.2667,0.0000
84,2034,102,3,0,0,131,1310,5415,1712,3568,135,104,0,14,70,15,0,10704,0,0.9751,4.4395,0.2143,0.0000
85,2034,102,3,0,0,132,1320,5488,1765,3596,127,117,0,8,78,20,0,10788,0,0.9769,4.4725,0.2564,0.0000
86,2034,102,3,0,0,131,1310,5384,1720,3570,94,87,0,12,57,17,0,10713,0,0.9825,4.4441,0.2982,0.0000
87,2034,102,3,0,0,131,1310,5512,1814,3578,120,124,0,18,50,21,0,10734,0,0.9782,4.5210,0.4200,0.0000
88,2034,102,3,0,0,127,1270,5220,1684,3447,89,117,0,9,47,11,0,10341,0,0.9830,4.4656,0.2340,0.0000
89,2034,102,3,0,0,131,1310,5347,1768,3494,85,122,0,18,56,12,0,10482,0,0.9841,4.5180,0.2143,0.0000
90,2034,102,3,0,0,131,1310,5420,1736,3579,105,113,0,11,50,13,0,10737,0,0.9806,4.4552,0.2600,0.0000
91,2034,103,4,0,0,127,1270,5202,1698,3403,101,95,0,14,57,19,0,10209,0,0.9806,4.4969,0.3333,0.0000
92,2034,103,4,0,0,131,1310,5415,1780,3485,150,106,0,14,73,12,0,10455,0,0.9723,4.5323,0.1644,0.0000
93,2034,103,4,0,0,131,1310,5394,1688,3581,125,83,0,20,48,15,0,10743,0,0.9768,4.4141,0.3125,0.0000
94,2034,103,4,0,0,131,1310,5377,1773,3475,129,97,0,19,73,10,0,10428,0,0.9760,4.5293,0.1370,0.0000
95,2034,103,4,0,0,131,1310,5401,1757,3531,113,105,0,8,54,12,0,10596,0,0.9791,4.4915,0.2222,0.0000
96,2034,103,4,0,0,131,1310,5493,1834,3537,122,98,0,12,51,14,0,10611,0,0.9778,4.5556,0.2745,0.0000
97,2034,103,4,0,0,130,1300,5526,1881,3548,97,113,0,15,51,13,0,10644,0,0.9824,4.5905,0.2549,0.0000
98,2034,103,4,0,0,131,1310,5301,1700,3469,132,83,0,16,49,17,0,10407,0,0.9751,4.4702,0.3469,0.0000
99,2034,103,4,0,0,131,1310,5472,1800,3551,121,91,0,12,37,12,0,10656,0,0.9779,4.5194,0.3243,0.0000
100,2034,103,4,0,0,131,1310,5465,1851,3501,113,112,0,18,70,16,0,10503,0,0.9793,4.5861,0.2286,0.0000
101,2034,103,4,0,0,131,1310,5464,1842,3518,104,107,0,11,64,14,0,10554,0,0.9810,4.5708,0.2188,0.0000
102,2034,103,4,0,0,131,1310,5530,1844,3562,124,124,0,18,61,11,0,10689,0,0.9776,4.5518,0.1803,0.0000
103,2034,103,4,0,0,131,1310,5358,1686,3557,115,91,0,12,51,20,0,10674,0,0.9785,4.4207,0.3922,0.0000
104,2034,103,4,0,0,131,1310,5424,1805,3511,108,111,0,12,55,13,0,10533,0,0.9801,4.5423,0.2364,0.0000
105,2034,103,4,0,0,131,1310,5390,1764,3497,129,120,0,17,55,17,0,10491,0,0.9761,4.5133,0.3091,0.0000
106,2034,103,4,0,0,131,1310,5495,1838,3544,113,107,0,12,65,19,0,10632,0,0.9794,4.5559,0.2923,0.0000
107,2034,103,4,0,0,131,1310,5412,1788,3540,84,105,0,21,65,14,0,10620,0,0.9845,4.5153,0.2154,0.0000
108,2034,103,4,0,0,132,1320,5547,1895,3573,79,114,0,13,54,10,0,10719,0,0.9858,4.5911,0.1852,0.0000
109,2034,103,4,0,0,131,1310,5513,1817,3566,130,68,0,18,51,15,0,10698,0,0.9764,4.5286,0.2941,0.0000
110,2034,103,4,0,0,131,1310,5475,1759,3601,115,86,0,13,66,18,0,10806,0,0.9790,4.4642,0.2727,0.0000
111,2034,103,4,0,0,131,1310,5399,1796,3484,119,109,0,14,75,15,0,10452,0,0.9780,4.5465,0.2000,0.0000
112,2034,103,4,0,0,131,1310,5441,1786,3564,91,94,0,22,58,18,0,10692,0,0.9833,4.5034,0.3103,0.0000
113,2034,103,4,0,0,131,1310,5490,1812,3575,103,81,0,15,53,10,0,10725,0,0.9812,4.5206,0.1887,0.0000
114,2034,103,4,0,0,131,1310,5373,1760,3495,118,95,0,13,53,20,0,10485,0,0.9780,4.5107,0.3774,0.0000
115,2034,103,4,0,0,131,1310,5422,1744,3577,101,102,0,19,60,16,0,10731,0,0.9814,4.4627,0.2667,0.0000
116,2034,103,4,0,0,131,1310,5492,1857,3521,114,113,0,22,64,18,0,10563,0,0.9792,4.5822,0.2813,0.0000
117,2034,103,4,0,0,131,1310,5400,1745,3522,133,96,0,17,51,5,0,10566,0,0.9754,4.4864,0.0980,0.0000
118,2034,103,4,0,0,130,1300,5362,1781,3446,135,111,0,16,45,6,0,10338,0,0.9748,4.5505,0.1333,0.0000
119,2034,103,4,0,0,127,1270,5213,1624,3478,111,84,0,8,55,8,0,10434,0,0.9787,4.4008,0.1455,0.0000
120,2034,103,4,0,0,132,1320,5494,1782,3578,134,91,0,20,69,15,0,10734,0,0.9756,4.4941,0.2174,0.0000
121,2034,104,5,0,0,70,700,2835,893,1873,69,54,0,10,31,3,0,5625,0,0.9757,4.4256,0.0968,0.0000
122,2034,104,5,0,0,70,700,2822,925,1849,48,37,0,8,30,6,0,5547,0,0.9830,4.5008,0.2000,0.0000
123,2034,104,5,0,0,70,700,2820,883,1868,69,41,0,8,28,7,0,5604,0,0.9755,4.4181,0.2500,0.0000
124,2034,104,5,0,0,70,700,2907,969,1880,58,54,0,4,29,9,0,5640,0,0.9800,4.5463,0.3103,0.0000
125,2034,104,5,0,0,71,710,2934,974,1909,51,35,0,6,23,5,0,5727,0,0.9826,4.5306,0.2174,0.0000
126,2034,104,5,0,0,70,700,2852,913,1862,77,52,0,8,37,7,0,5586,0,0.9730,4.4710,0.1892,0.0000
127,2034,104,5,0,0,71,710,2995,982,1952,61,60,0,7,32,6,0,5859,0,0.9796,4.5069,0.1875,0.0000
128,2034,104,5,0,0,73,730,3023,982,1937,104,58,0,14,32,7,0,5811,0,0.9656,4.5209,0.2188,0.0000
129,2034,104,5,0,0,73,730,3063,960,2064,39,38,0,7,18,5,0,6192,0,0.9873,4.3953,0.2778,0.0000
130,2034,104,5,0,0,70,700,2905,903,1925,77,44,0,12,32,5,0,5775,0,0.9735,4.4073,0.1563,0.0000
131,2034,104,5,0,0,71,710,3002,1016,1925,61,60,0,7,26,5,0,5775,0,0.9797,4.5834,0.1923,0.0000
132,2034,104,5,0,0,71,710,2918,964,1893,61,53,0,4,22,4,0,5679,0,0.9791,4.5277,0.1818,0.0000
133,2034,104,5,0,0,73,730,2994,964,1948,82,40,0,58,32,7,0,5844,0,0.9726,4.4846,0.2188,0.0000
134,2034,104,5,0,0,70,700,2903,961,1877,65,51,0,16,29,8,0,5631,0,0.9776,4.5360,0.2759,0.0000
135,2034,104,5,0,0,73,730,2980,958,1946,76,46,0,10,27,6,0,5838,0,0.9745,4.4769,0.2222,0.0000
136,2034,104,5,0,0,70,700,2892,974,1849,69,59,0,6,30,9,0,5550,0,0.9761,4.5778,0.3000,0.0000
137,2034,104,5,0,0,70,700,2971,967,1944,60,48,0,7,34,11,0,5832,0,0.9798,4.4923,0.3235,0.0000
138,2034,104,5,0,0,73,730,3044,987,1956,101,61,0,11,30,8,0,5868,0,0.9668,4.5138,0.2667,0.0000
139,2034,104,5,0,0,73,730,2998,980,1939,79,58,0,6,28,8,0,5817,0,0.9736,4.5162,0.2857,0.0000
140,2034,104,5,0,0,70,700,2847,930,1863,54,64,0,5,12,3,0,5589,0,0.9810,4.4976,0.2500,0.0000
141,2034,104,5,0,0,71,710,2917,973,1879,65,58,0,7,27,8,0,5637,0,0.9777,4.5535,0.2963,0.0000
142,2034,104,5,0,0,70,700,2926,971,1871,84,64,0,4,29,4,0,5619,0,0.9713,4.5521,0.1379,0.0000
143,2034,104,5,0,0,70,700,2890,931,1906,53,58,0,6,23,5,0,5721,0,0.9817,4.4630,0.2174,0.0000
144,2034,104,5,0,0,73,730,2956,923,1971,62,52,0,6,34,11,0,5916,0,0.9790,4.4026,0.3235,0.0000
145,2034,104,5,0,0,72,720,2993,994,1922,77,64,0,5,28,8,0,5766,0,0.9743,4.5515,0.2857,0.0000
146,2034,104,5,0,0,73,730,3060,1026,1978,56,62,0,4,33,11,0,5934,0,0.9817,4.5561,0.3333,0.0000
147,2034,104,5,0,0,73,730,3089,1010,2018,61,58,0,7,21,4,0,6054,0,0.9803,4.5015,0.1905,0.0000
148,2034,104,5,0,0,70,700,2889,960,1885,44,50,0,6,28,7,0,5661,0,0.9848,4.5231,0.2500,0.0000
