human_manager_id,team_id,year,league_id,sub_league_id,division_id,g,w,l,pos,pct,gb,streak,magic_number
1,13,2018,100,0,0,162,64,98,5,0.3951,27.0000,0,0
1,13,2019,100,0,0,162,87,75,3,0.5370,21.0000,0,0
1,13,2020,100,0,0,162,69,93,5,0.4259,17.0000,0,0
1,13,2021,100,0,0,162,66,96,5,0.4074,30.0000,0,0
1,13,2022,100,0,0,162,56,106,5,0.3457,50.0000,0,0
1,13,2023,100,0,0,162,41,121,5,0.2531,67.0000,0,0
1,13,2024,100,0,0,162,67,95,4,0.4136,35.0000,0,0
1,13,2025,100,0,0,162,78,84,3,0.4815,21.0000,0,0
1,13,2026,100,0,0,162,95,67,2,0.5864,1.0000,0,0
1,13,2027,100,0,0,162,89,73,3,0.5494,7.0000,0,0
1,13,2028,100,0,0,162,91,71,2,0.5617,2.0000,0,0
1,13,2029,100,0,0,162,98,64,1,0.6049,0.0000,0,0
1,13,2030,100,0,0,162,107,55,1,0.6605,0.0000,0,0
1,13,2031,100,0,0,162,85,77,2,0.5247,7.0000,0,0
1,13,2032,100,0,0,162,90,72,2,0.5556,5.0000,0,0
1,13,2033,100,0,0,162,76,86,4,0.4691,13.0000,0,0
1,13,2034,100,0,0,162,71,91,5,0.4383,18.0000,0,0
