12518,2028,66,0,102,3,1,76,287,0,67,41,321,0,29,34,32,96,82,1194,1,47,0,0,4,0,46,14,0,5,5,2,2,0,1,2,0,12,6,0,2,2,47,0,0,0,0,9,34,5,0.2410,292.5000,0,229,0.9931
12519,2021,76,0,102,3,1,98,369,0,96,81,452,10,72,59,57,92,105,1751,2,45,4,3,4,0,69,20,0,8,2,5,0,0,0,4,3,16,12,1,1,1,41,0,0,6,2,1,45,17,-0.6848,392.3000,0,296,-0.4018
12519,2022,76,0,102,3,1,121,471,0,121,104,564,69,82,77,74,115,127,2201,1,24,23,4,9,0,84,23,1,3,1,13,0,0,0,4,7,0,13,4,0,0,1,0,0,9,3,0,0,0,-2.0756,589.0000,0,364,-0.0368
12519,2023,76,0,102,3,1,129,514,0,142,104,587,89,63,68,63,130,135,2231,2,23,23,9,4,0,94,31,0,2,3,14,0,0,0,8,8,0,13,12,0,0,0,0,0,5,3,0,0,0,-0.1468,636.4000,0,389,0.8997
12519,2023,45,0,101,2,1,9,39,0,13,5,44,2,4,7,7,14,6,160,2,2,2,0,1,0,9,2,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,-0.3273,34.0000,0,29,-0.1391
12519,2024,76,0,102,3,1,54,206,0,47,53,233,23,25,20,20,45,59,886,1,10,10,4,2,0,36,6,0,0,1,4,0,0,0,4,2,0,4,5,0,0,0,0,0,3,1,0,0,0,0.3707,247.0000,0,163,1.0689
12519,2024,45,0,101,2,1,27,100,0,23,30,116,0,13,11,11,18,31,466,0,19,0,2,0,1,18,3,1,1,0,2,0,0,0,0,1,9,0,0,1,0,19,0,0,0,1,0,15,4,0.5280,94.3000,0,81,0.2951
12519,2025,76,0,102,3,1,33,130,0,37,32,149,15,15,21,20,31,31,578,2,7,7,0,2,0,20,11,0,2,2,4,0,0,0,1,2,0,4,0,0,0,0,1,0,1,2,0,0,0,-0.6682,152.4000,0,101,0.3982
12519,2025,45,0,101,2,1,13,51,0,9,5,67,16,16,6,6,14,21,261,1,3,3,2,0,0,7,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0498,71.9000,0,40,-0.3498
12519,2026,76,0,102,3,1,40,161,0,42,40,173,22,10,24,19,30,47,675,0,7,7,1,3,0,30,5,0,1,2,5,0,0,0,0,1,0,2,4,0,0,0,0,0,2,0,0,0,0,-0.9316,194.8000,0,120,0.8397
12519,2026,45,0,101,2,1,63,260,0,75,59,291,10,28,35,31,68,54,1105,1,21,7,1,5,0,53,12,2,0,0,10,1,0,0,1,1,4,5,4,2,2,14,0,0,2,1,1,7,2,-1.1091,258.0000,0,190,0.2449
12519,2027,167,0,105,6,1,1,6,0,1,2,6,0,0,0,0,3,0,21,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,-0.0410,2.4000,0,5,0.0653
12519,2027,147,0,104,5,1,4,20,0,5,5,21,1,1,4,4,3,6,81,2,1,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2909,17.6000,0,14,0.0338
12519,2027,70,0,102,3,1,12,44,0,8,14,51,1,7,2,2,9,13,196,2,2,2,1,1,0,7,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.3207,66.3000,0,38,0.4721
12519,2028,46,0,101,2,1,105,434,0,128,32,487,20,48,71,63,142,127,1747,0,35,10,7,7,0,86,32,0,4,7,3,1,0,1,8,1,5,6,3,0,0,25,0,0,4,1,0,16,5,-1.4535,463.1000,0,315,0.9213
12519,2029,36,0,101,2,1,72,294,0,88,35,335,0,36,42,42,100,74,1209,1,46,0,3,3,3,60,18,0,5,6,4,0,0,1,5,0,23,2,0,6,1,46,0,0,0,1,4,39,16,-0.7267,311.3000,0,217,0.1570
12519,2030,53,0,101,2,1,89,347,0,95,27,392,54,39,52,47,123,104,1468,1,19,15,5,5,0,64,22,0,6,4,5,0,0,0,8,0,2,8,7,0,0,4,0,0,2,1,0,1,0,-1.5728,376.1000,0,268,0.7375
12519,2031,65,0,102,3,1,52,217,0,62,23,257,8,35,37,28,75,51,916,2,31,2,2,3,0,40,12,2,2,4,6,1,0,5,3,1,12,5,0,0,0,29,0,0,1,1,1,24,6,-0.8302,279.6000,0,158,-0.4707
12519,2031,57,0,101,2,1,3,13,0,4,2,14,0,1,2,2,7,0,54,0,1,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0.0026,9.9000,0,9,0.0687
12519,2034,99,0,103,4,1,168,642,0,145,72,679,92,32,53,41,231,184,2369,2,27,27,15,6,0,109,26,0,5,4,6,0,0,0,6,0,0,12,18,0,0,0,0,0,3,2,0,0,0,2.2505,688.3000,0,506,4.6621
12519,2034,99,0,103,4,3,106,407,0,94,44,421,69,13,36,28,142,116,0,1,27,27,0,0,0,64,20,0,1,4,6,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0.0000,439.3000,0,319,0.0000
12519,2034,99,0,103,4,2,62,235,0,51,28,258,23,19,17,13,89,68,0,1,27,27,0,0,0,45,6,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000,249.0000,0,187,0.0000
