team_id,player_id,list_id
1,10015,1
1,19376,2
1,10015,3
1,13926,1
1,11719,2
1,13926,3
1,10015,2
1,14286,3
1,23158,2
1,11719,3
1,14286,1
1,19848,2
1,12378,3
1,11719,1
1,20470,2
1,13183,3
1,12378,1
1,11296,2
1,16966,3
1,13183,1
1,17945,2
1,11095,3
1,16966,1
1,14286,2
1,11296,3
1,11095,1
1,15881,2
1,17945,3
1,11296,1
1,13039,2
1,13039,3
1,17399,2
1,23158,3
1,17945,1
1,15224,2
1,15881,3
1,11095,2
1,20470,3
1,13039,1
1,12378,2
1,18927,3
1,23158,1
1,11729,2
1,15224,3
1,15881,1
1,19210,2
1,19848,3
1,13926,2
1,19376,3
1,20470,1
1,18927,2
1,6087,3
1,18927,1
1,13929,2
1,13929,3
1,15224,1
1,17279,2
1,17399,3
1,19848,1
1,15427,2
1,15427,3
1,19376,1
1,14035,2
1,20880,3
1,6087,2
1,23107,3
1,6087,1
1,20880,2
1,13016,3
1,13929,1
1,23107,2
1,19100,3
1,17399,1
1,20862,2
1,14035,3
1,15427,1
1,13183,2
1,18903,3
1,20880,1
1,16966,2
1,20862,3
1,23107,1
1,13089,2
1,17279,3
1,13016,1
1,13016,2
1,11729,3
1,19100,1
1,19100,2
1,19210,3
1,18903,2
1,13089,3
1,14035,1
1,18903,1
1,20862,1
1,17279,1
1,11729,1
1,19210,1
1,13089,1
2,17796,1
2,14804,2
2,17796,3
2,15417,1
2,20892,2
2,15417,3
2,21783,1
2,18987,2
2,21783,3
2,14804,1
2,17889,2
2,14804,3
2,17968,1
2,14067,2
2,17968,3
2,13882,2
2,17197,3
2,21783,2
2,10713,3
2,17197,1
2,14825,2
2,15430,3
2,10713,1
2,16399,2
2,12754,3
2,15417,2
2,16898,3
2,15430,1
2,15430,2
2,17889,3
2,12754,1
2,20909,2
2,16687,3
2,19800,2
2,14067,3
2,16898,1
2,17968,2
2,14825,3
2,17889,1
2,16687,2
2,20420,3
2,16687,1
2,17796,2
2,16399,3
2,12754,2
2,18986,3
2,14067,1
2,10713,2
2,20892,3
2,14825,1
2,16898,2
2,16893,3
2,20420,1
2,24178,2
2,20909,3
2,21926,2
2,19800,3
2,16399,1
2,18986,2
2,19289,3
2,18986,1
2,17197,2
2,24178,3
2,20420,2
2,15162,3
2,20892,1
2,15162,2
2,13813,3
2,19289,2
2,20459,3
2,16893,1
2,22055,2
2,22055,3
2,20459,2
2,12869,3
2,20909,1
2,13813,2
2,18987,3
2,19800,1
2,16893,2
2,21926,3
2,12869,2
2,19732,3
2,19289,1
2,19732,2
2,13882,3
2,24178,1
2,15162,1
2,13813,1
2,20459,1
2,22055,1
2,12869,1
2,18987,1
2,21926,1
2,19732,1
2,13882,1
3,24210,1
3,23163,2
3,24210,3
3,18231,1
3,11153,2
3,18231,3
3,11342,1
3,18231,2
3,11342,3
3,18496,1
3,19012,2
3,18496,3
3,19012,1
3,16769,2
3,19012,3
3,19751,1
3,11342,2
3,19751,3
3,11009,1
3,15991,2
3,11009,3
3,17470,1
3,17470,2
3,17470,3
3,11459,1
3,18349,2
3,11459,3
3,21948,1
3,11551,2
3,21948,3
3,18496,2
3,11551,3
3,11551,1
3,17142,2
3,17319,3
3,17319,1
3,15605,2
3,11851,3
3,11851,1
3,12387,2
3,15581,3
3,15581,1
3,11851,2
3,12387,3
3,12387,1
3,13873,2
3,18161,3
3,21948,2
3,15991,3
3,18161,1
3,11459,2
3,13873,3
3,15991,1
3,18512,2
3,13722,3
3,13873,1
3,18161,2
3,23163,3
3,14228,2
