11283,206,125,"Bradenton","BRA",27.4900,-82.5800,54608,0
11380,206,125,"Brandon","BRA",27.9300,-82.2900,90165,0
11562,206,125,"Brent","BRE",30.4700,-87.2500,22735,0
11805,206,125,"Broadview-Pompano Park","BRO",0.0000,0.0000,5395,0
11807,206,125,"Broadview Park","BRO",26.1000,-80.2100,7203,0
11864,206,125,"Bronson","BRO",29.4500,-82.6400,1031,0
11901,206,125,"Brookridge","BRO",28.5500,-82.4900,3556,0
11912,206,125,"Brooksville","BRO",28.5600,-82.3900,7509,0
11942,206,125,"Broward Estates","BRO",26.1300,-80.1900,3777,0
11962,206,125,"Brownsville","BRO",25.8200,-80.2400,13964,0
12184,206,125,"Buckhead Ridge","BUC",27.1300,-80.8900,1457,0
12188,206,125,"Buckingham","BUC",26.6700,-81.7300,4137,0
12526,206,125,"Bunche Park","BUN",25.9200,-80.2400,4080,0
12559,206,125,"Bunnell","BUN",29.4700,-81.2600,2341,0
12751,206,125,"Burnt Store Marina","BUR",26.7600,-82.0500,1405,0
12809,206,125,"Bushnell","BUS",28.6600,-82.1100,2055,0
12866,206,125,"Butler Beach","BUT",29.8000,-81.2700,5081,0
13225,206,125,"Chiefland","CHI",29.4700,-82.8600,2060,0
13385,206,125,"Chipley","CHI",30.7800,-85.5400,3589,0
13618,206,125,"Christmas","CHR",28.5400,-81.0200,1285,0
13647,206,125,"Chuluota","CHU",28.6400,-81.1200,2216,0
13849,206,125,"Citrus Hills","CIT",28.8900,-82.4300,4455,0
13850,206,125,"Citrus Park","CIT",28.1100,-82.5800,22364,0
13851,206,125,"Citrus Ridge","CIT",28.3500,-81.6700,13285,0
13852,206,125,"Citrus Springs","CIT",29.0000,-82.4700,5634,0
14038,206,125,"Clearwater","CLW",27.9800,-82.7700,108064,0
14067,206,125,"Clermont","CLE",28.5500,-81.7500,11473,0
14080,206,125,"Cleveland","CLE",26.9600,-81.9800,3486,0
14087,206,125,"Clewiston","CLE",26.7500,-80.9300,6947,0
14285,206,125,"Cocoa Beach","COC",28.3400,-80.6300,12336,0
14286,206,125,"Cocoa West","COC",0.0000,0.0000,5857,0
14287,206,125,"Cocoa","COC",28.3800,-80.7500,16433,0
14289,206,125,"Coconut Creek","COC",26.2800,-80.1800,50326,0
14456,206,125,"Collier Manor-Cresthaven","COL",0.0000,0.0000,8007,0
14660,206,125,"Combee Settlement","COM",28.0600,-81.9100,5466,0
14934,206,125,"Conway","CON",28.5000,-81.3300,15129,0
14956,206,125,"Cooper City","COO",26.0400,-80.2900,29172,0
15006,206,125,"Coral Gables","COR",25.7000,-80.2600,42485,0
15008,206,125,"Coral Springs","CSP",26.2700,-80.2600,131674,0
15009,206,125,"Coral Terrace","COR",25.7500,-80.3000,25120,0
15221,206,125,"Cortez","COR",27.4700,-82.6900,4517,0
15364,206,125,"Country Club","COU",25.9500,-80.3200,53746,0
15366,206,125,"Country Estates","COU",0.0000,0.0000,2112,0
15370,206,125,"Country Walk","COU",25.6300,-80.4300,11779,0
15597,206,125,"Crescent City","CRE",29.4300,-81.5100,1772,0
15619,206,125,"Crestview","CRE",30.7500,-86.5700,16702,0
15714,206,125,"Crooked Lake Park","CRO",27.8300,-81.5800,1748,0
15726,206,125,"Cross City","CRO",29.6300,-83.1300,1817,0
15810,206,125,"Crystal Lake","CRY",0.0000,0.0000,5402,0
15813,206,125,"Crystal River","CRY",28.9000,-82.5900,3618,0
15814,206,125,"Crystal Springs","CRY",28.1800,-82.1600,1299,0
15905,206,125,"Cudjoe Key","CUD",24.6700,-81.5000,1699,0
16099,206,125,"Cutler Ridge","CUT",25.5800,-80.3500,26831,0
16100,206,125,"Cutler","CUT",25.6300,-80.3200,18117,0
16136,206,125,"Cypress Gardens","CYP",28.0000,-81.6900,8755,0
16137,206,125,"Cypress Lake","CYP",26.5400,-81.9000,12994,0
16138,206,125,"Cypress Lakes","CYP",26.7300,-80.1200,1589,0
16139,206,125,"Cypress Quarters","CYP",27.2500,-80.8100,1159,0
16677,206,125,"Callaway","CAL",30.1400,-85.5800,14913,0
16914,206,125,"Campbell","CAM",28.2600,-81.4600,2722,0
17235,206,125,"Cape Canaveral","CAP",28.3900,-80.6000,10101,0
17239,206,125,"Cape Coral","CPC",26.6400,-82.0000,130807,0
17551,206,125,"Carol City","CAR",25.9400,-80.2700,63031,0
17577,206,125,"Carrabelle","CAR",29.8500,-84.6600,1284,0
17659,206,125,"Carver Ranches","CAR",25.9900,-80.1900,4406,0
17744,206,125,"Casselberry","CAS",28.6600,-81.3200,23821,0
18104,206,125,"Cedar Grove","CED",30.1700,-85.6300,5624,0
18142,206,125,"Celebration","CEL",28.3300,-81.5300,3025,0
18229,206,125,"Century Village","CEN",26.7100,-80.1300,7839,0
18230,206,125,"Century","CEN",30.9700,-87.2600,1769,0
18671,206,125,"Chambers Estates","CHA",0.0000,0.0000,3932,0
18948,206,125,"Charlotte Harbor","CHA",26.9600,-82.0700,3837,0
18949,206,125,"Charlotte Park","CHA",26.9100,-82.0500,2179,0
19027,206,125,"Chattahoochee","CHA",30.7100,-84.8400,3299,0
19373,206,125,"Cheval","CHE",28.1500,-82.5100,8405,0
19555,206,125,"Dunnellon","DUN",29.0500,-82.4600,1988,0
19593,206,125,"Dunedin","DUN",28.0400,-82.7700,37020,0
19601,206,125,"Dundee","DUN",28.0200,-81.6200,3018,0
20069,206,125,"Delray Beach","DEL",26.4500,-80.0900,65511,0
20076,206,125,"Deltona","DEL",28.9100,-81.2100,82008,0
20290,206,125,"Desoto Lakes","DES",27.3700,-82.4900,3426,0
20302,206,125,"Destin","DES",30.3900,-86.4700,12115,0
20983,206,125,"Doctor Phillips","DOC",28.4500,-81.4900,10478,0
21298,206,125,"Doral","DOR",25.8200,-80.3600,29449,0
21422,206,125,"Dover","DOV",27.9900,-82.2200,2915,0
21621,206,125,"Dade City North","DAD",0.0000,0.0000,3476,0
21622,206,125,"Dade City","DAD",28.3600,-82.2000,6627,0
21913,206,125,"Dania Beach","DAN",26.0600,-80.1500,28826,0
22159,206,125,"Davenport","DAV",28.1600,-81.6000,2027,0
22169,206,125,"Davie","DAV",26.0800,-80.2900,82605,0
22244,206,125,"Daytona Beach Shores","DAY",29.1800,-80.9800,4536,0
